InstanceID,Grupo,NumNodos,Matrix_Size,Benchmark_Optimum,Modelo,Solver,NumVars,NumConstrs,TimeSeconds,MIPGap_Percent,BestBound,ObjectiveValue,Status,Timestamp
test4,VerySmall,4,16,-1.0,MTZ,Gurobi,19,14,0.010999917984008789,0.0,40.0,40.0,Optimal,2025-12-12 02:20:44
test4,VerySmall,4,16,-1.0,MTZ,CPLEX,15,14,0.015999999988707714,0.0,40.0,40.0,integer optimal solution,2025-12-12 02:20:44
test4,VerySmall,4,16,-1.0,GG,Gurobi,24,23,0.006999969482421875,0.0,40.0,40.0,Optimal,2025-12-12 02:20:44
test4,VerySmall,4,16,-1.0,GG,CPLEX,24,23,0.01600000000325963,0.0,40.0,40.0,integer optimal solution,2025-12-12 02:20:44
br17,Small,17,289,-1.0,MTZ,Gurobi,305,274,1.7070000171661377,0.0,39.0,39.0,Optimal,2025-12-12 02:20:46
br17,Small,17,289,-1.0,MTZ,CPLEX,288,274,0.0629999999946449,0.0,39.0,39.0,integer optimal solution,2025-12-12 02:20:46
br17,Small,17,289,-1.0,GG,Gurobi,544,322,0.06999993324279785,0.0,39.0,39.0,Optimal,2025-12-12 02:20:46
br17,Small,17,289,-1.0,GG,CPLEX,544,322,0.15599999998812564,0.0,39.0,39.0,integer optimal solution,2025-12-12 02:20:46
ftv33,Small,34,1156,-1.0,MTZ,Gurobi,1189,1124,0.1700000762939453,0.0,1286.0,1286.0,Optimal,2025-12-12 02:20:47
ftv33,Small,34,1156,-1.0,MTZ,CPLEX,1155,1124,0.4529999999940628,0.0,1286.0,1286.0,integer optimal solution,2025-12-12 02:20:47
ftv33,Small,34,1156,-1.0,GG,Gurobi,2244,1223,0.4119999408721924,0.0,1286.0,1286.0,Optimal,2025-12-12 02:20:48
ftv33,Small,34,1156,-1.0,GG,CPLEX,2244,1223,0.625,0.0,1286.0,1286.0,integer optimal solution,2025-12-12 02:20:48
ftv47,Small,48,2304,-1.0,MTZ,Gurobi,2351,2258,0.7709999084472656,0.0,1776.0,1776.0,Optimal,2025-12-12 02:20:49
ftv47,Small,48,2304,-1.0,MTZ,CPLEX,2303,2258,2.202999999994063,0.0,1776.0,1776.0,integer optimal solution,2025-12-12 02:20:51
ftv47,Small,48,2304,-1.0,GG,Gurobi,4512,2399,1.3359999656677246,0.0,1776.0,1776.0,Optimal,2025-12-12 02:20:53
ftv47,Small,48,2304,-1.0,GG,CPLEX,4512,2399,1.0159999999887077,0.0,1776.0,1776.0,integer optimal solution,2025-12-12 02:20:54
ftv55,Medium,56,3136,-1.0,MTZ,Gurobi,3191,3082,1.0490000247955322,0.0,1608.0,1608.0,Optimal,2025-12-12 02:20:55
ftv55,Medium,56,3136,-1.0,MTZ,CPLEX,3135,3082,1.1560000000026776,0.0,1608.0,1608.0,integer optimal solution,2025-12-12 02:20:56
ftv55,Medium,56,3136,-1.0,GG,Gurobi,6160,3247,1.058000087738037,0.0,1607.9999999999964,1608.0,Optimal,2025-12-12 02:20:58
ftv55,Medium,56,3136,-1.0,GG,CPLEX,6160,3247,2.063000000009197,0.0,1608.0,1608.0,integer optimal solution,2025-12-12 02:21:00
ftv70,Medium,71,5041,-1.0,MTZ,Gurobi,5111,4972,3.8569998741149902,0.0,1950.0,1950.0,Optimal,2025-12-12 02:21:04
ftv70,Medium,71,5041,-1.0,MTZ,CPLEX,5040,4972,6.514999999999418,0.0,1950.0,1950.0,integer optimal solution,2025-12-12 02:21:11
ftv70,Medium,71,5041,-1.0,GG,Gurobi,9940,5182,2.1440000534057617,0.0,1950.0,1950.0,Optimal,2025-12-12 02:21:13
ftv70,Medium,71,5041,-1.0,GG,CPLEX,9940,5182,5.157000000006519,0.0,1950.0,1950.0,integer optimal solution,2025-12-12 02:21:18
kro124p,Medium,100,10000,-1.0,MTZ,Gurobi,10099,9902,79.07299995422363,0.0,36230.0,36230.0,Optimal,2025-12-12 02:22:38
kro124p,Medium,100,10000,-1.0,MTZ,CPLEX,9999,9902,17.281000000002678,0.0,36230.0,36230.0,integer optimal solution,2025-12-12 02:22:55
kro124p,Medium,100,10000,-1.0,GG,Gurobi,19800,10199,8.127000093460083,0.0,36230.0,36230.0,Optimal,2025-12-12 02:23:04
kro124p,Medium,100,10000,-1.0,GG,CPLEX,19800,10199,54.71899999999732,0.0,36230.0,36230.0,integer optimal solution,2025-12-12 02:23:59
ftv170,Big,171,29241,-1.0,MTZ,Gurobi,29411,29072,7.374000072479248,0.0,2755.0,2755.0,Optimal,2025-12-12 02:24:07
ftv170,Big,171,29241,-1.0,MTZ,CPLEX,29240,29072,26.187999999994645,0.0,2755.0,2755.0,integer optimal solution,2025-12-12 02:24:35
ftv170,Big,171,29241,-1.0,GG,Gurobi,58140,29582,40.9779999256134,0.0,2755.0,2755.0,Optimal,2025-12-12 02:25:17
ftv170,Big,171,29241,-1.0,GG,CPLEX,58140,29582,458.5,0.0,2755.0,2755.0,integer optimal solution,2025-12-12 02:32:56
rbg323,Big,323,104329,-1.0,MTZ,Gurobi,104651,104008,20.674000024795532,0.0,1326.0,1326.0,Optimal,2025-12-12 02:33:24
rbg323,Big,323,104329,-1.0,MTZ,CPLEX,104328,104008,273.0,0.0,1326.0,1326.0,integer optimal solution,2025-12-12 02:38:04
rbg323,Big,323,104329,-1.0,GG,Gurobi,208012,104974,343.2430000305176,0.0,1326.0,1326.0,Optimal,2025-12-12 02:43:55
rbg323,Big,323,104329,-1.0,GG,CPLEX,208012,104974,3601.125,100.0,1326.0000000000002,-1.0,"time limit exceeded, no integer solution",2025-12-12 03:44:00
rbg358,Big,358,128164,-1.0,MTZ,Gurobi,128521,127808,29.312999963760376,0.0,1163.0,1163.0,Optimal,2025-12-12 03:44:36
rbg358,Big,358,128164,-1.0,MTZ,CPLEX,128163,127808,205.7039999999979,0.0,1163.0,1163.0,integer optimal solution,2025-12-12 03:48:11
rbg358,Big,358,128164,-1.0,GG,Gurobi,255612,128879,104.87899994850159,0.0,1163.0,1163.0,Optimal,2025-12-12 03:50:01
rbg358,Big,358,128164,-1.0,GG,CPLEX,255612,128879,3601.3589999999967,100.0,1163.0000000000014,-1.0,"time limit exceeded, no integer solution",2025-12-12 04:50:09
rbg403,Big,403,162409,-1.0,MTZ,Gurobi,162811,162008,51.17699980735779,0.0,2465.0,2465.0,Optimal,2025-12-12 04:51:09
rbg403,Big,403,162409,-1.0,MTZ,CPLEX,162408,162008,56.40600000000268,0.0,2465.0,2465.0,integer optimal solution,2025-12-12 04:52:17
rbg403,Big,403,162409,-1.0,GG,Gurobi,324012,163214,501.5770001411438,0.0,2465.0,2465.0,Optimal,2025-12-12 05:00:47
rbg403,Big,403,162409,-1.0,GG,CPLEX,324012,163214,3600.7660000000033,100.0,2465.0000000000005,-1.0,"time limit exceeded, no integer solution",2025-12-12 06:00:57
